Serial Number,Title,Paragraph
14,மயோன் எரிமலை,"மயோன் எரிமலை (Mayon Volcano, தகலாகு: மொழியில் புல்காங்கு மயோன்) அல்லது புல்கான் மயோன் அல்லது மயோன் சிகரம் என்ற பெயர்களில் அழைக்கப்படும் இது உயிர்த்துடிப்புடைய எரிமலை ஆகும். இது பிலிப்பைன்சு நாட்டின் அல்பே மாகாணத்தில் அமைந்துள்ளது. இது ""முழுமையான கூம்பு""  எனப் புகழ்பெற்ற எரிமலையாகும். ஏனெனில் அது கிட்டத்தட்ட சமச்சீரான கூம்பு வடிவத்தில் உள்ளது. இந்த மலை மற்றும் அதனைச் சுற்றியுள்ள பகுதிகள்  ஜூலை 20, 1938 இல், நாட்டின் முதல் தேசியப் பூங்காவாக அறிவிக்கப்பட்டது. 2000 ஆம் ஆண்டில் மயோன் எரிமலை இயற்கைப் பூங்கா என வகைப்பாடு செய்யப்பட்டு மயோன் எரிமலை தேசியப் பூங்கா எனப் பெயர் மாற்றம் செய்யப்பட்டது.[3]"
16,அரராத் மலை,"அரராத் மலை (Mount Ararat) துருக்கியில் உள்ள மிக உயரமான மலையாகும். எரிமலைக் கூம்பான இம்மலை துருக்கியின் வடகிழக்கு மூலையில் அமைந்துள்ளது. இது ஆர்மேனியா நாட்டின் எல்லைக்கு 32 கி.மீ. தெற்காகவும், ஈரான் எல்லைக்கு 16 கீ.மீ. மேற்காகவும் அமைந்துள்ளது."
17,கிளிமஞ்சாரோ மலை,"கிளிமஞ்சாரோ மலை டான்சானியா நாட்டின் வடகிழக்குப் பகுதியில் அமைந்திருக்கும் மிக உயரமான எரிமலை வகையைச் சேர்ந்த மலை. இதுவே  ஆப்பிரிக்காக் கண்டத்தில் உள்ள மலைகள் யாவற்றினும் மிக உயர்ந்த மலை. இதன் உயரம் கடல் மட்டத்திலிருந்து 5895 மீட்டர் (19,340 அடி) ஆகும். இம்மலையின் மிக உயரமான முகட்டுக்கு  'உகுரு' [1]  என்று பெயர். கிளிமஞ்சாரோ மலையில் கிபோ, மாவென்சி, இழ்சிரா ( Kibo, Mawensi,  Shira) என மூன்று எரிமலை முகடுகள் உள்ளன. இம்மலை, பல உள்ளடுக்கு கொண்ட எரிமலை வகையைச் சேர்ந்த எரிமலை (பல்லுள்ளடுக்கு எரிமலை, stratovolcano). கிளிமஞ்சாரோ எந்தவொரு மலைத்தொடரையும் சாராத தனிமலை. இமயமலைத் தொடர்களில் உள்ள மலைகளை ஒப்பிடும் பொழுது  கிளிமஞ்சாரோவின் உயரம் அதிகம் இல்லை. ஆனால் கிளிமஞ்சாரோதான் உலகில் உள்ள தனிமலைகள் யாவற்றினும் மிக உயரமான மலை ஆகும்."
18,ஒலிம்பசு மலை,"ஒலிம்பசு மலை அல்லது ஒலிம்பிய மலை என்பது கிரேக்க நாட்டில் உள்ள உயரமான மலை ஆகும். இது ஒலிம்பசு மலைத்தொடரில் தெசாலி மற்றும் மாகெடோனியா ஆகிய இரு பகுதிகளின் இடையே உள்ள எல்லையில் அமைந்துள்ளது. கிரேக்கத் தொன்மவியலில் ஒலிம்பசு மலை ஒலிம்பிய கடவுள்களின் வீடாகக் கூறப்படுகிறது. 2,918 மீட்டர் உயரம் கொண்ட மிடிகாசு என்ற சிகரம் ஒலிம்பசு மலையின் மிக உயரமான சிகரம் ஆகும். இந்த சிகரமே ஒலிம்பிய கடவுள்களின் சந்திப்பு இடமாக இருந்ததாகக் கூறப்படுகிறது."
19,எல்பிரஸ் மலை,"எல்பிரஸ் மலை (Mount Elbrus; உருசியம்: Эльбру́с, ஒ.பெ El'brus, பஒஅ: [ɪlʲˈbrus]; காரச்சேபால்கர் மொழி: Минги тау, Min̡i taw, IPA: [miŋŋi taw] (Audio file ""Miñitaw.ogg "" not found)) என்பது சியார்சியா எல்லைக்கு அருகில், உருசியாவின் கபர்தினோ-பல்கரீயா, கராச்சாய்-செர்கேசியாவில் உள்ள மேற்கு காக்கசஸ் மலைத்தொடரில் அமைந்துள்ள எரிமலை ஆகும். எல்பிரஸ் மலையின் சிகரம் உருசியாவிலும் ஐரோப்பியாவிலும் காக்கேசியாவிலும் உள்ள மலைகளில் உயரமானதும், உலகில் பத்தாவது உயர்வானதும் ஆகும்."
20,ஆகூங்க் மலை,ஆகூங்க் மலை (Mount Agung) இந்தோனீசியாவின் பாலித் தீவின் மிக உயர் இடத்தில் அமைந்துள்ள ஓர் எரிமலையாகும்.
21,மவுண்ட் ரஷ்மோர்,"மவுண்ட் ரஷ்மோர் தேசிய நினைவிடம்  கட்ஸோன் போர்க்லம் (1867–1941) என்பவரால் சௌத் டகோடா நகரில் கீஸ்டோன் என்ற இடத்தில் கிரானைட் சிற்பமாக செதுக்கப்பட்ட நினைவுச் சின்னமாகும். அமெரிக்க ஒன்றியத்தின் 150 ஆண்டு கால வரலாற்றை விவரிக்கும் வண்ணம் முன்னாள் அமெரிக்க ஒன்றிய அதிபர்களின் தலைகளை (இடமிருந்து வலம்): ஜார்ஷ் வாஷிங்டன் (1732–1799), தாமஸ் ஜெபர்சன் (1743–1826), தியோடோர் ரூஸ்வெல்ட் (1858–1919), மற்றும் ஆப்ரகாம் லிங்கன் (1809–1865) சிற்பமாக 60-அடி (18 m) கொண்டு அமெரிக்க ஒன்றிய அதிபர்கள் நினைவிடத்தில் அமையப்பட்டுள்ள வரலாற்று சிறப்புமிக்க இடமாகும்.[1] இந்த நினைவிடம் பரப்பளவிலும் [2] கடல் மட்டத்திலிருந்து 5,725 அடிகள் (1,745 m) உயரத்திலும் உள்ளது.[3] அமெரிக்க ஒன்றிய உள்நாட்டுத்துறை செயலகமான தேசிய பூங்கா சேவை மூலம் நிர்வகிக்கப்படுகிறது. ஆண்டுதோறும் தோராயமாக இரண்டு மில்லியன் மக்கள் இந்த நினைவிடத்தைப் பார்வையிட வருகின்றனர்.[4]"
22,லகோத்சே மலை,"இலோட்ஃசே என்னும் மலை (Lhotse, நேபாளியில் ल्होत्से, சீனாவில் Lhozê; திபேத்திய மொழியில்: lho rtse; சீன மொழியில்: 洛子峰, பின்யிங்ல்: Luòzǐ Fēng) உலகிலேயே 4 ஆவது மிக உயரமான மலை ஆகும். இதன் உயரம் 8,516 மீ ஆகும். இமய மலைத் தொடரில் எவரெசுட்டு மலையுடன் சவுத் கால் என்னும் இடத்துடன் தொடர்புடையது. இம்மலை திபெத்துக்கும் (சீனாவின் பகுதி) நேபாளத்திற்கும் இடையே உள்ள எல்லைப்பகுதியில் உள்ளது."
23,கிரகட்டோவா,"கிரக்கத்தோவா (Krakatoa, இந்தோனீசீயம்: Krakatau) என்பது ஓர் எரிமலைத் தீவாகும். இது சாவகத்துக்கும் சுமாத்திராவுக்கும் இடையில் உள்ள சுந்தா நீரிணையில் அமைந்திருக்கிறது. தீவுக் கூட்டத்துக்கும், அதன் முக்கிய தீவுக்கும் அதன் எரிமலைக்கும் கிரக்கத்தோவா என்ற பெயரே வழங்கி வருகிறது. இது வரலாற்று ரீதியாக பல முறை வெடித்திருப்பதாகப் பதியப்பட்டுள்ளது. இதன் பெரும் வெடிப்பு 1883 ஆம் ஆண்டில் ஆகஸ்ட் 26 - 27 இல் இடம்பெற்றது. இதுவே அண்மைக் காலத்தில் இடம்பெற்ற பெரும் எரிமலைக் குமுறல்களில் பெரும் அழிவைத் தந்தது எனக் கருதப்படுகிறது. இதன் தாக்கம் 200 மெகாதொன் டி.என்.டி அளவுக்கும், ஹிரோஷிமாவில் வீசப்பட்ட சின்னப் பையன் என்ற அணுகுண்டின் தாக்கத்தின் 13,000 மடங்கு அதிகமானது எனவும் கருதப்படுகிறது[1], ."
24,அக்கோன்காகுவா,"அக்கோன்காகுவா (Aconcagua) தென் அமெரிக்காவில் உள்ள அர்ஜென்டினா நாட்டில், அதன் மேற்கே உள்ள மெண்டோசா மாநிலத்தில், உள்ள பெரு மலையாகும். இதுதான் மேற்கு உலக நாடுகளிலேயே உள்ள மிக உயர்ந்த மலை. இதன் உயரம் கடல் மட்டத்திலிருந்து 6,962 மீ. ஆண்டீய மலைத்தொடரில் உள்ள இம்மலை ஐரோப்பா, ஆப்பிரிக்கா, ஆஸ்திரேலியா, வட அமெரிக்கா ஆகிய எல்லாவிடங்களிலும் உள்ள மலைகள் யாவற்றினும் மிகப் பெரியது. இந்திய வட எல்லையில் உள்ள இமய மலைத்தொடரில் மட்டும் தான் இதனினும் மிக உயர்ந்த மலை முகடுகளும் கொடுமுடிகளும் உள்ளன. இமய மலையிலே 7000 மீ உயரத்தையும் தாண்டிய ஓங்கிய கொடுமுடிகள் (சிகரங்கள்) 100க்கும் மேலாக உள்ளன."
25,கே-2 கொடுமுடி,"உலகில் உள்ள மலைகளிலேயே உயரத்தில் இரண்டாவதாக இருப்பது இக் கே-2 என்னும் கொடுமுடிதான்.
இது இமயமலைத் தொடரிலே உள்ள காரகோரம் மலைகளில் 8,611 மீ உயரமுள்ள கடுங் கொடுமுடி. ஜம்மு காஷ்மீர் மாநிலத்தின் பகுதியான, பாக்கிஸ்தான் ஆக்கிரமித்த ஜில்ஜிட்-பல்திஸ்தானில் உள்ளது.[1]"
26,டெயிட்,"டெயிட் மலை (Mount Teide, எசுப்பானியம்: Pico del Teide, என்பது கேனரி தீவுகளில் அமைந்துள்ள ஒரு எரிமலை. இதன் உயரம் 3,718 மீட்டர் ஆகும். இதுவே எசுப்பானியாவின் மிக உயர்ந்த பகுதியும், அத்திலாந்திக் தீவுகளில் கடல் மட்டத்துக்கு மேலே மிக உயர்ந்த புள்ளியும், மற்றும் உலகின் மூன்றாவது உயரமான எரிமலையும் ஆகும்."
27,சிம்போரசோ,சிம்போரசோ (Chimborazo) என்பது தற்போது இயங்காத நிலையில் உள்ள ஓர் எரிமலை ஆகும். இது எக்குவடோர் நாட்டில் உள்ளது. அந்தீசு மலைத் தொடரில் உள்ள புகழ் வாய்ந்த மலை இதுவாகும். புவியின் நடுவிலிருந்து கூடிய தூரத்தில் உள்ள இடம் இம்மலையின் உச்சியே ஆகும் (புவி கிடையாகச் சற்று நீள்வட்ட வடிவில் உள்ளது.). புவியிலிருந்து விண்வெளிக்கு அருகே உள்ள இடமும் இதுவே. நிலநடுக்கோட்டுக்கு அருகில் இருந்தாலும் இதன் உச்சியானது ஆண்டு முழுவதும் பனியால் மூடப்பட்டிருக்கும். இவ்வெரிமலை கடைசியாக கி. பி. 550 ஆம் ஆண்டு வெடித்தது.
28,தவுளகிரி,"தௌலாகிரி (धौलागिरी) என்னும் மலை உலகிலேயே 7 ஆவது உயரமான மலை ஆகும். இதன் உயரம் 8,167 மீட்டர் (26,794 அடி) ஆகும். நேபாளத்தில், தௌளகிரி இமாலயம் என்னும் கிழக்குப் புறம் உள்ள மலைத்தொடரில் இது உள்ளது. பொக்காரா என்னும் சிறு நகரத்தின் வடமேற்கே இம்மலை அமைந்துள்ளது. இம்மலைக்கு அருகில் உள்ள காளி கண்டாகி என்னும் ஆழ்பள்ளத்தாக்கின் கிழக்கே அன்னப்பூர்னா மலை உள்ளது. தௌலாகிரி என்றால் வெண்மலை என்று பொருள்."
29,மனசுலு,"மனஸ்லு (நேபாளம்: मनास्लु, குட்டாங் (Kutang) என்றும் பெயர்) மலையானது உலகிலேயே 8 ஆவது உயரமான மலை. இது நேபாளத்தில் உள்ள மனசிரி இமாலயம் என்னும் மலைத்தொடரில் உள்ளது. மனஸ்லு என்னும் பெயர் சமஸ்கிருத மொழியில் மனதின் சிகரம் என்னும் பொருள் தருவதாகும்."
31,கொஸ்கியஸ்கோ மலை,"கொஸ்கியஸ்கோ மலை அல்லது கஸ்கியஸ்கோ மலை (Mount Kosciuszko அல்லது Mount Kosciusko) என்பது ஆஸ்திரேலியாவின் நியூ சவுத் வேல்ஸ் மாநிலத்தில் பனி மலைகளில் அமைந்துள்ள மலை ஆகும். கடல் மட்டத்தில் இருந்து 2,228 மீட்டர்கள் (7,310 அடி) உயரமுள்ளது. இதுவே ஆஸ்திரேலியாவின் பெரு நிலப்பரப்பில் உள்ள மலைகளில் மிக உயரமான மலையாகும். போலந்தின் தேசியவீரரான தாடஸ் கொஸ்கியஸ்கோ நினைவாக போலந்து நாடுகாண் பயணியும் மலையேறியுமான ""போல் எட்மண்ட் ஸ்திரிசெலெஸ்கி"" என்பவரால் 1840 ஆண்டு கொஸ்கியஸ்கோ மலை என இம்மலைக்குப் பெயரிடப்பட்டது[1]."
32,சிசாபங்மா,"சிசபங்மா உலகின் 14 ஆவது உயரமான மலையும், எண்ணாயிரம் மீட்டர்களுக்கு அதிகமான உயரத்தைக் கொண்ட மலைகளுள் உயரம் குறைந்ததும் ஆகும். இது 8013 மீட்டர் (26,289 அடிகள்) உயரம் கொண்டது. இது முழுதாகவே சீனாவுக்குள் இருப்பதும், 1950 களிலும் அதற்குப் பின்னரும் இப் பகுதிக்குள் செல்வதற்குச் சீனா தடை விதித்திருந்ததாலும், வெளிநாட்டவர்கள் இதில் ஏறும் முயற்சியில் இறங்க முடியாதிருந்தது. இதனால் எண்ணாயிரம் மீட்டர்களுக்கு மேற்பட்ட மலைகளுள், உச்சியை அடைவதில் கடைசியாக வெற்றிபெற்ற மலையும் இதுவே."
33,சோ ஓயு மலை,"சோ ஓயு (அல்லது கோவோவுயாக்; நேபாள மொழியில் चोयु சோயு, திபெத்திய மொழியில் jo bo dbu yag ஜொ போ த்பு ஓயு, சீன மொழியில் 卓奧有山 சௌ ஆஓயு ஷான்) மலையானது உலகிலேயே ஆறாவது உயரமான மலை ஆகும். இது இமய மலைத்தொடரில் உள்ளது. எவரெஸ்ட் மலைக்கு மேற்கே 20 கி.மீ தொலைவில் நேபாளத்திற்கும் சீனாவிற்கும் இடையே உள்ளது. சோ ஓயு என்றால் திபெத்திய மொழியில் பசும்நீல அம்மன் என்று பொருள்படும்."
34,லோகன் மலை,"லோகன் மலை (Mount Logan) கனடாவின் யூக்கான் நிலப்பகுதியில் அமைந்த மலையாகும். இம்மலை கனடாவிலேயே மிக உயரமானது; மெக்கின்லி மலையுக்கு அடுத்தபடியாக வட அமெரிக்காவில் மிக உயரமானது. குலுவேன் தேசியப் பூங்காவில் அமைந்த இம்மலையின் உயரம் 5,959 மீட்டர்கள் ஆகும். அண்டார்டிக்கா தவிர உலகில் மிக குளிரான இடங்களில் ஒன்றாகும்."
35,தம்போரா எரிமலை,தம்போரா எரிமலை (அல்லது தம்போரோ) (இந்தோனேசிய மொழி: Gunung Tambora) இந்தோனேசியாவின் சும்பவா தீவில் அமைந்த சுழல்வடிவ எரிமலை. தம்போராவின் வடக்கிலும் தெற்கிலும் இருக்கும் கடற் புவியோட்டின் கீழமிழ்தலின் காரணமாக தம்போரா மலை முளைத்தது. 1815ஆம் ஆண்டுக்கு முன்பு 4300 மீட்டர் உயரம் அடைந்தது.
36,மக்காலு,"மக்காலு (நேபாளத்தில் ஏற்புடைய பெயர் मकालु'; சீனாவில் ஏற்புடைய பெயர் மக்காரு:马卡鲁山; பின்யின்:மக்காலு ஷான் Mǎkǎlǔ Shān) உலகிலேயே ஐந்தாவது உயரமான மலை. இது இமய மலைத் தொடரில் எவரெஸ்ட் மலைக்கு கிழக்கே 22 கி.மீ தொலைவில் அமைந்துள்ளது. மக்காலு தனி முகடாக நான்கு முகம் கொண்ட சதுரவடி கூம்புப் பட்டகம் போல் உள்ளது. மலையின் உச்சி கடல் மட்டத்தில் இருந்து 8,462 மீட்டர் (27,762 அடி) உயரத்தில் உள்ளது. உயரமான பின்புல மலைப்பகுதியில் இருந்து இதன் தனி முகடு மட்டுமே 2,386 மீ (7,828 அடி) நிற்கின்றது."
37,பைச்சான் காங்ரி,"அகல முகடு அல்லது கே3 எனவும் அறியப்படும் பல்சான் காங்ரி, உலகின் 12 ஆவது உயரமான மலையாகும். சீனாவுக்கும், பாக்கிசுத்தானுக்கும் இடையிலான எல்லையில், கே2 என அழைக்கப்படும் மலையில் இருந்து 8 கிலோமீட்டர்கள் (5 மைல்) தொலைவில் இது அமைந்துள்ளது. கே 2 க்கு அருகில் இருந்ததால் இது கே 3 எனப் பெயரிடப்பட்டது பின்னர் இதன் முகடு 1 1/2 கிலோமீட்டர்கள் நீளமாக இருப்பதைக் கண்டு இதனை ""அகல முகடு"" என அழைக்கலாயினர்.[2]"
38,கசெர்பிரம் II,"கே4 எனவும் அழைக்கப்படும் கசெர்பிரம் II உலகின் 13 ஆவது உயரமான மலையாகும். இது பாகிசுத்தானுக்கும், சீனாவுக்கும் இடையிலான எல்லையில் அமைந்துள்ளது. இது இமயமலைத் தொடரின் காராக்கோரம் தொடரில் ஒரு பகுதியாக உள்ளது. 1956 ஆம் ஆண்டில், ஆசுத்திரிய மலையேறும் குழுவைச் சேர்ந்த பிரிட்சு மொராவெக், சோசப் லாச், ஆன்சு விலென்பார்ட் ஆகியோர் முதன் முதலான இதன் உச்சியை அடைந்தனர்."
39,புர்கான் கல்துன்,புர்கான் கல்துன் (சிரில்லிக்: Бурхан Халдун) என்பது கென்டீ மலைத்தொடரில் உள்ள ஒரு மலையாகும். இத்தொடர் வடகிழக்கு மங்கோலியாவின் கென்டீ மாகாணத்தில் அமைந்துள்ளது. இம்மலை அல்லது இதன் இடம் செங்கிஸ் கானின் பிறப்பிடமாக நம்பப்படுகிறது. மேலும் இங்குதான் அவர் புதைக்கப்பட்டதாக நம்பப்படுகிறது. அவரது வெற்றிகரமான தளபதிகளுள் ஒருவரான சுபுதையின் பிறப்பிடமும் இதுதான்.
40,கியாச்சுங் காங்,"கியாச்சுங் காங் இமயமலைத் தொடரின் துணைத்தொடரான மகாலங்கூர் இமால் என்னும் தொடரில் அமைந்த ஒரு மலையாகும். 7,953 மீட்டர்கள் (26,089 அடிகள்) உயரம் கொண்ட இம் மலையே இமயமலைக்கும், சோ ஓயுவுக்கும் இடையில் உள்ள மலைகளுள் மிகவும் உயரமானது. இது நேபாளத்துக்கும் திபேத்துக்கும் இடையில் அமைந்துள்ளது. இது உலகின் 15 ஆவது உயரமான மலை."
41,தாபோர் மலை,"தாபோர் மலை (Mount Tabor, எபிரேயம்: הַר תָּבוֹר, தற்கால Har Tavor திபேரியம் Har Tāḇôr, அரபு மொழி: جبل الطور, Jabal aṭ-Ṭūr, Greek: Όρος Θαβώρ) என்பது இசுரேலின் கீழ் கலிலேயாவில் யெசுரியேல் பள்ளத்தாக்கின் கிழக்கு முடிவில், மேற்கு கலிலேயக் கடலிலிருந்து 11 மைல்கள் (18 km) தொலைவில் உள்ளது. கி.மு. 12ம் நூற்றாண்டின் மத்தியில், இப்பகுதியில் இசுரயேலிய நீதிபதி தெபோரா தலைமையின் கீழ் பாராக்கிற்கும் சிசாரா தலைமையின் கீழான யபீன் படைகளுக்குமிடையில் ""தாபோர் மலை சண்டை"" இடம் பெற்றது. இங்கு இயேசுவின் உருமாற்றம் இடம்பெற்றதாக பல கிறித்தவர்களால் நம்பப்படுகின்றது.[1] இம் மலை உருமாற்ற மலை எனவும் அழைக்கப்படுகின்றது."
42,கசெர்பிரம் 1,"கே5 அல்லது மறைந்துள்ள முகடு எனவும் அழைக்கப்படும் கசெர்பிரம் 1, பாகிசுத்தனுக்கும், சீனாவுக்கும் இடையிலான எல்லையில் அமைந்துள்ள ஒரு மலையாகும். இது உலகின் 11 ஆவது உயரமான மலை. இமயமலைத் தொடரின் காராக்கோரம் பகுதியில் இது அமைந்துள்ளது. ""மின்னும் சுவர்"" என்னும் பொருள் கொண்ட இப் பெயர் மிகவும் தெளிவாகத் தெரிவதும், அருகில் அமைந்துள்ளதுமான கசெர்பிரம் IV மலையின் தோற்றத்தைத் தழுவி ஏற்பட்டதாகக் கருதப்படுகிறது."
43,குனோங் தகான்,"குனோங் தகான் அல்லது தகான் மலை (மலாய் மொழி: Gunung Tahan; ஆங்கிலம்: Mount Tahan) என்பது தீபகற்ப மலேசியாவில் மிக உயர்ந்த மலையாகும். மலேசியாவில் குனோங் தகான் என்றே பரவலாக அழைக்கப் படுகிறது. பகாங், ஜெராண்டுட் நகரில் இருந்து 76 கி.மீ. தொலைவில் இருக்கிறது. தகான் மலையின் உயரம் 2,187 மீட்டர், (7,174 அடி).[2] இந்த மலை தகான் மலைத்தொடரில் அமைந்து இருக்கிறது."
