item,itemLabel
http://www.wikidata.org/entity/Q1478212,மிகிந்தலை
http://www.wikidata.org/entity/Q1146327,பிதுருதலாகலை
http://www.wikidata.org/entity/Q1192560,தராவெரா சிகரம்
http://www.wikidata.org/entity/Q312818,ஸ்கோபஸ் மலை
http://www.wikidata.org/entity/Q1481864,டை மோ சான் மலை
http://www.wikidata.org/entity/Q324765,ஜாங்சங் சிகரம்
http://www.wikidata.org/entity/Q1193964,அகஸ்டின் எரிமலை
http://www.wikidata.org/entity/Q336749,தொட்டபெட்டா
http://www.wikidata.org/entity/Q1233570,திரிசூல மலை
http://www.wikidata.org/entity/Q1507962,ஸ்டோக் காங்ரி
http://www.wikidata.org/entity/Q377485,சினாய் மலை
http://www.wikidata.org/entity/Q375975,கிரிகல்பொத்த
http://www.wikidata.org/entity/Q1521057,சத்ருஞ்ஜெய மலை
http://www.wikidata.org/entity/Q692712,ஹெகு தீவு
http://www.wikidata.org/entity/Q377415,துய்லியர் மலை
http://www.wikidata.org/entity/Q695221,அபு மலை
http://www.wikidata.org/entity/Q390831,அகத்தியமலை
http://www.wikidata.org/entity/Q379143,பாருன்டிஸ்
http://www.wikidata.org/entity/Q1296693,எகேலியசு மலை
http://www.wikidata.org/entity/Q1572208,ஒதகன்தெங்கர்
http://www.wikidata.org/entity/Q1964543,நந்த குந்தி
http://www.wikidata.org/entity/Q760738,கிசிமென்
http://www.wikidata.org/entity/Q485550,ஆனைமுடி (மலை)
http://www.wikidata.org/entity/Q1747217,கிர்நார்
http://www.wikidata.org/entity/Q1738211,கெளிமுட்டு
http://www.wikidata.org/entity/Q500275,யு சான்
